Category,Area,Finding,File,Lines,Severity,Effort,Status
State Management,Zustand,Clean split: React Query owns server state Zustand owns UI-only state,N/A,N/A,Info,N/A,Good
State Management,Forms,Two form libraries coexist: React Hook Form and Formik - no rule for when to use which,Multiple components,N/A,Low,Medium,Fix Needed
State Management,Props,ActiveOrdersView passes 6+ props to modals - prop drilling pattern,components/management/orders/ActiveOrdersView.tsx,117-120,Medium,Medium,Fix Needed
Loading & Errors,Loading States,Skeleton component with animate-pulse used in tables and grids,components/ui/skeleton.tsx,1-13,Info,N/A,Good
Loading & Errors,Loading States,React Query isPending/isFetching flags used in components for conditional rendering,components/management/orders/ActiveOrdersView.tsx,54-56,Info,N/A,Good
Loading & Errors,Loading States,Inconsistent use of isPending vs isLoading across hooks (different React Query semantics),features/*/useXXX.ts,N/A,Low,Low,Fix Needed
Loading & Errors,Error States,Full-screen SystemErrorOverlay blocks UI during critical failures with retry button,features/system-errors/SystemErrorOverlay.tsx,1-114,Info,N/A,Good
Loading & Errors,Error States,sonner toast used for inline errors with deduplication via id prop,Multiple components,N/A,Info,N/A,Good
Loading & Errors,Error States,extractErrorMessage utility normalizes array and string error messages,utils/error-utils.ts,N/A,Info,N/A,Good
Loading & Errors,Error Boundaries,ZERO ErrorBoundary components exist - any render throw crashes the entire app tree,Global,N/A,Critical,Low,Fix Needed
Caching,React Query,Targeted invalidateQueries on mutations prevents stale lists,features/*/useXXX.ts,N/A,Info,N/A,Good
Caching,React Query,setQueryData used for optimistic cache update in addItemsToOrderMutation (only one instance),features/orders/useOrders.ts,85-91,Info,N/A,Good
Caching,Optimistic Updates,Optimistic updates nearly absent - most mutations wait for full re-fetch causing visible latency,features/*/useXXX.ts,N/A,Medium,High,Fix Needed
Caching,Local Storage,localStorage used for FCM device ID station token tax rate TFA cooldown,Multiple features,N/A,Low,N/A,Review
Caching,Local Storage,localStorage values stored in plaintext - no encryption layer,Multiple features,N/A,Low,Low,Review
Optimizations,Memoization,useMemo used in 6 places for derived data (chart transforms filtered lists context values),Multiple components,N/A,Info,N/A,Good
Optimizations,Memoization,React.memo applied to PublicFeedBusinessCard and GetStars rating component,components/feed/PublicFeedBusinessCard.tsx,N/A,Info,N/A,Good
Optimizations,Memoization,useCallback used in only one place - event handlers in heavy list components recreate on every render,components/ui/sidebar.tsx,N/A,Medium,Medium,Fix Needed
Optimizations,Code Splitting,clientOnly dynamic imports for ThemeProvider and TourProvider prevent bundle bloat,Multiple providers,N/A,Info,N/A,Good
Optimizations,Images,No image optimization - raw img tags with no lazy-loading or size hints (not using Next.js Image equivalent),Multiple components,N/A,Medium,Medium,Fix Needed
Optimizations,List Rendering,No list virtualization (react-window / react-virtual) - large order/reservation/inventory lists render all rows,Multiple components,N/A,Medium,High,Fix Needed
Optimizations,List Rendering,key={i} used on skeleton arrays - violates React best practices though not a runtime bug,Multiple components,N/A,Low,Low,Fix Needed
Optimizations,Bundle,No explicit SSR preloading - may cause unnecessary double-fetches on page load,pages/,N/A,Medium,High,Review
Architecture,Tech Stack,React 19 RC in production - risk of breaking changes before stable release,package.json,N/A,Medium,High,Review
Architecture,Tech Stack,Framer Motion 12.x used for animations - large bundle dependency,package.json,N/A,Low,Low,Review
Architecture,Feature Modules,27 feature modules each with service.ts / useXXX.ts / types.ts - consistent and scalable,features/,N/A,Info,N/A,Good
Architecture,Feature Modules,Clean REST endpoint naming convention across all service files,features/*/service.ts,N/A,Info,N/A,Good
