Rank,Severity,Category,Surface,File,Line,Issue,Recommendation
22,High,Mobile Responsiveness,Staff/POS/Station,components/inputs/LocationSelectionModal.tsx,172,"Dialog contains a map, radius slider and switches with no max-h or overflow-y-auto on DialogContent so it can overflow the viewport on short/phone screens.","Add max-h-[90vh] overflow-y-auto to the DialogContent like other modals in the codebase."
23,High,Mobile Responsiveness,Staff/POS/Station,components/station/POSApp.tsx,894,"Refresh icon button on the Orders view is h-7 w-7 (28px), too small for a touch-first tablet POS.","Increase to h-10 w-10 minimum for tablet touch targets."
24,High,Mobile Responsiveness,Staff/POS/Station,components/station/POSApp.tsx,966,"Refresh icon button on the Tables view is h-7 w-7 (28px), too small for reliable touch on POS tablet.","Increase to h-10 w-10 minimum for tablet touch targets."
25,High,Mobile Responsiveness,Staff/POS/Station,components/staff/orders/StaffAddOrderMobileView.tsx,63,"Back navigation button in the phone order-taking flow is only h-7 w-7 (28px), a small target for staff using personal phones.","Increase to at least h-9 w-9 (36px+) for phone touch targets."
26,High,Code Convention,Staff/POS/Station,components/pos/AttendancePanel.tsx,56,"useEffect directly calls staffApi.get to fetch clock-in status instead of using TanStack Query, bypassing caching/retry/error handling for a critical staff clock-in workflow.","Convert fetchStatus to a useQuery hook (e.g. useAttendanceStatus) with mutations for clock actions."
27,High,Code Convention,Staff/POS/Station,components/station/StationBootstrap.tsx,93,"Station bootstrap (station/me, station/menu, station/tables) is fetched with Promise.all inside an async function triggered from useEffect rather than TanStack Query.","Move to parallel useQuery calls or a single useQuery with select, enabling caching and background refetch."
28,High,Design Consistency,Staff/POS/Station,components/subscriptions/UpgradeModal.tsx,64,"Modal is built almost entirely with hardcoded zinc/indigo palette (bg-zinc-50, text-zinc-600, bg-indigo-100, text-indigo-600, hover:shadow-indigo-500/20) instead of bg-card/text-muted-foreground/text-primary tokens.","Rework to use design tokens so the upgrade modal follows the same theme as the rest of the app."
29,High,Design Consistency,Staff/POS/Station,components/staff/orders/StaffAddOrderMenu.tsx,66,"Search/select/menu list use a hardcoded gray/amber palette throughout (border-gray-300, focus:ring-amber-500, bg-white, border-gray-200, text-gray-700/800/900) instead of border-border/ring-ring/bg-card/text-foreground tokens.","Replace hardcoded gray/amber classes with design-system tokens for consistency and dark-mode support."
30,High,Design Consistency,Staff/POS/Station,components/station/KDSApp.tsx,242,"KDS ticket cards and most of the screen use a pervasive hardcoded slate-* palette (bg-white, border-slate-300, text-slate-900, bg-slate-100) instead of card/border/foreground tokens, effectively hardcoding a light theme.","Migrate to bg-card/border-border/text-foreground tokens so KDS respects the same token system as the rest of the app."
31,High,Code Convention,API Layer,features/station/station-api.ts,8,"Custom timeout: 30000 set on an axios instance outside lib/flairapi.ts, duplicated across all three exported instances, violating the rule that only per-call Timeouts.SHORT-style overrides are allowed outside flairapi.ts.","Remove custom global timeout config or move this into flairapi's shared config."
32,High,Code Convention,API Layer,features/support/service.ts,17,"getSupportCategories uses global fetch() instead of the shared flairapi instance, bypassing auth headers, error handling, and request dedupe.","Replace fetch with flairapi.get so this call gets the standard interceptors and error handling."
33,High,Code Convention,API Layer,features/support/service.ts,23,"submitSupportTicket uses global fetch() with manual JSON handling instead of flairapi.post, bypassing centralized error/toast handling.","Replace fetch with flairapi.post."
34,High,Code Convention,API Layer,features/profileSettings/service.ts,53,"regenerateBackupCodesApiCall uses global fetch() with credentials: 'include' instead of flairapi, bypassing the shared axios instance entirely for this call while every other function in the same file uses flairapi.","Replace with flairapi.post(regenerateBackupCodesUrl, undefined, { responseType: 'blob' }), matching the pattern already used in features/qr/service.ts for blob downloads."
35,High,Code Convention,API Layer,features/orders/service.ts,362,"reorderStationOrderApiCall dynamically imports staffApi from features/station/station-api and calls a bare path '/station/orders/.../reorder' instead of using the shared flairapi instance used by every other function in this file.","Expose a flairapi-based call here, or if station auth headers are required, add them as a per-call header override on flairapi rather than importing a separate axios instance."
36,High,Architecture Violation,Pages/Routing,pages/jobs/+Page.tsx,15,"Page directly imports fetchPublicJobsApiCall and calls it inside useSuspenseQuery, the same anti-pattern repeated a third time across public listing pages.","Extract a shared useSuspensePublicJobs-style feature hook so all three SSR listing pages follow the same rule."
37,High,Architecture Violation,Pages/Routing,pages/reset-password/+Page.tsx,11,"Page imports resetPasswordApiCall directly from features/auth/service and calls it in the Formik onSubmit, with error/success business logic living in the page.","Create a useResetPassword feature hook that owns the API call and result state."
38,High,Architecture Violation,Pages/Routing,pages/forgot-password/+Page.tsx,11,"Page imports forgotPasswordApiCall directly from features/auth/service and calls it in the Formik onSubmit.","Create a useForgotPassword feature hook that owns the API call and result state."
39,High,Architecture Violation,Pages/Routing,pages/tfa/+Page.tsx,12,"Page imports checkTfaApiCall directly from features/profileSettings/service and calls it in handleVerify, business logic embedded in the page.","Move the OTP verification call into a useTfa feature hook."
40,High,Architecture Violation,Pages/Routing,pages/jobs/my-applications/+guard.ts,8,"Guard redirects to /login?returnTo=/jobs/my-applications but login's guard/page only ever reads the origin query param, so returnTo is silently ignored and the user is dropped on /feed after login instead of returning to their applications; a near-identical guard exists in @applicationId/+guard.ts with the same bug.","Standardize all guards on the origin= convention used by every other protected route."
41,High,Architecture Violation,Pages/Routing,pages/jobs/@id/my-application/+guard.ts,8,"Guard redirects unauthenticated users to plain /login with no origin/returnTo at all, so post-login they lose their destination entirely -- a third divergent variant of the same login-redirect guard logic.","Use the shared origin= redirect convention like pages/join/+guard.ts and manage guards."
42,High,Code Convention,Pages/Routing,pages/manage/@id/owner/stations/+Page.tsx,89,"Four large inline component definitions (PairingCodeDialog, StationCard, KitchenStationCard, CategoryRoutingPanel) totaling roughly 500 lines are defined directly inside a 900-line +Page.tsx instead of components/.","Extract each into components/management/stations/*.tsx."
43,High,Code Convention,Pages/Routing,pages/manage/@id/owner/tasks/+Page.tsx,88,"TaskFormDialog, StatusUpdateDialog and TaskCard are ~350 combined lines of inline JSX components defined in the +Page.tsx rather than components/.","Extract to components/management/tasks/*.tsx."
44,High,Design Consistency,Pages/Routing,pages/learn/+Page.tsx,503,"Content area is offset with mt-16 and height calc(100vh - 64px) but the sticky LandingHeader it sits under is h-20 (80px), leaving 16px of content permanently hidden/overlapped behind the fixed header.","Change offsets to mt-20 / calc(100vh - 80px) to match the h-20 header."
45,High,Mobile Responsiveness,Pages/Routing,pages/manage/@id/owner/stations/+Page.tsx,705,"Summary stat row uses a fixed grid-cols-3 with no responsive breakpoint, unlike the grid two lines below it at 830 which is properly responsive, squeezing 3 stat cards into unreadable columns on tablet/mobile widths.","Add grid-cols-1 sm:grid-cols-3 (or similar) to match the pattern used elsewhere in the same file."
46,Medium,Mobile Responsiveness,Admin/Management,components/management/schedule/RecurringRuleModal.tsx,144,"Recurring shift rule dialog with multiple grid rows and day selectors has no max-h/overflow-y-auto for short viewports.","Add max-h-[85vh] overflow-y-auto to DialogContent."
47,Medium,Mobile Responsiveness,Admin/Management,components/management/schedule/BulkScheduleModal.tsx,100,"Bulk schedule creation dialog has no max-h/overflow-y-auto despite multiple form sections.","Add max-h-[85vh] overflow-y-auto to DialogContent."
48,Medium,Mobile Responsiveness,Admin/Management,components/management/reservations/EditReservationModal.tsx,130,"Edit reservation dialog with three stacked grid-cols-2 rows has no max-h/overflow-y-auto.","Add max-h-[85vh] overflow-y-auto to DialogContent."
49,Medium,Mobile Responsiveness,Admin/Management,components/management/settings/BusinessSettingsTax.tsx,318,"Tax rule create/edit DialogContent (and two others in this file at 504, 591) omit max-h/overflow-y-auto for potentially long tax forms.","Add max-h-[85vh] overflow-y-auto to each DialogContent."
50,Medium,Mobile Responsiveness,Admin/Management,components/management/attendance/ReportsTab.tsx,56,"DatePickerWithRange hardcoded to w-[280px] with no responsive/mobile override in a filter row.","Make the date picker w-full on mobile and constrain width only at sm breakpoint."
51,Medium,Mobile Responsiveness,Admin/Management,components/management/BusinessManagementHeader.tsx,38,"Header content container uses fixed px-6 padding instead of the documented responsive px-4 sm:px-6 lg:px-8 pattern.","Replace px-6 with px-4 sm:px-6 lg:px-8 to match design system page padding convention."
52,Medium,Mobile Responsiveness,Admin/Management,components/management/menu/SimpleMenuCategoryCard.tsx,68,"Category reorder up/down buttons are h-6 w-6 (24px), well under the ~36-40px touch target guideline on a card meant to be used on mobile.","Increase to at least h-9 w-9 or size=""icon"" default for touch-friendly tap targets."
53,Medium,Mobile Responsiveness,Admin/Management,components/management/reservations/ReservationDashboard.tsx,228,"View-reservation icon buttons are h-7 w-7 (28px), below the recommended touch target size, repeated at lines 337 and 398.","Bump to h-9 w-9 or use Button size=""icon"" for adequate tap targets."
54,Medium,Mobile Responsiveness,Admin/Management,components/management/discounts/DiscountsPage.tsx,80,"Page header row (title+description plus ""New Discount"" button) uses flex items-center justify-between with no flex-col fallback for mobile, unlike sibling ReservationDashboard which uses flex-col sm:flex-row.","Use flex flex-col sm:flex-row sm:items-center sm:justify-between gap-3 to stack on mobile."
55,Medium,Mobile Responsiveness,Admin/Management,components/management/reservations/AssignTableModal.tsx,1,"Table component used inside a dialog for table assignment has no explicit max-h/overflow guard beyond the base Table's overflow-auto, risking a very tall dialog on mobile with many tables.","Wrap the table list in a max-h-[50vh] overflow-y-auto container inside the dialog."
56,Medium,Design Consistency,Admin/Management,components/management/discounts/DiscountsPage.tsx,160,"Required-field asterisks use hardcoded text-red-500 instead of the text-destructive token, repeated across ~28 files and 65 occurrences (e.g. MenuItemRow.tsx, InventoryItemModal.tsx, JobForm.tsx).","Replace text-red-500/600 and bg-red-500/600 usages with text-destructive/bg-destructive tokens."
57,Medium,Design Consistency,Admin/Management,components/management/create/BusinessSocialLinksInput.tsx,47,"Icon and label use hardcoded text-gray-500/text-gray-700 instead of text-muted-foreground/text-foreground tokens, same in BusinessTagsInput.tsx:47, LocationPlaceholderCard.tsx:17, BusinessBrandingGalleryUpload.tsx:209, BusinessBrandingLogoUpload.tsx:56.","Use text-muted-foreground / text-foreground tokens instead of raw gray-* classes."
58,Medium,Design Consistency,Admin/Management,components/management/inventory/BarcodeScannerDialog.tsx,409,"Scan-line animation uses hardcoded hex color #4ade80 in a raw <style> block instead of a design token.","Use an existing token (e.g. var(--primary) or a success token) instead of the raw hex value."
59,Medium,Design Consistency,Admin/Management,components/management/website/SiteBuilderManager.tsx,151,"Cards use rounded-2xl (also line 145) which deviates from the documented rounded-xl card convention; same deviation in BusinessReviewsDashboard.tsx:136 and ChangePlanModal.tsx:89.","Standardize on rounded-xl for card components per the design system."
60,Medium,Design Consistency,Admin/Management,components/management/discounts/DiscountsPage.tsx,82,"Page h1 uses text-3xl with no responsive variant while sibling pages use text-2xl, and neither follows the documented mobile-first pattern; same text-3xl inconsistency in PayrollPage.tsx:190, TipPoolingPage.tsx:120, SiteBuilderManager.tsx:134.","Standardize page headers to text-xl sm:text-2xl (or sm:text-3xl) across all management pages."
61,Medium,Design Consistency,Admin/Management,components/management/reservations/ReservationDashboard.tsx,97,"Stat tile colors are hardcoded (bg-gray-100 text-gray-600, bg-blue-100, bg-green-100, bg-orange-100, bg-red-100) instead of theme tokens.","Define semantic status tokens or reuse existing chart/status tokens instead of raw Tailwind palette colors."
62,Medium,Code Convention,Admin/Management,components/management/menu/MenuItemRow.tsx,1,"MenuItemRow.tsx, MenuItemRowSortable.tsx and SimpleMenuItemRow.tsx are three near-duplicate implementations of the same ""menu item row"" concept (935 combined lines across the 6 menu row/card files), causing divergent styling and tokens between them.","Consolidate into a single configurable MenuItemRow component to avoid drift in styling/consistency."
63,Medium,Mobile Responsiveness,Customer/Public,components/diner-mode/DinerMenuItemSheet.tsx,223,"Quantity stepper minus/plus buttons in the item customization sheet are h-8 w-8 (32px), below the recommended mobile touch target size.","Bump to h-9 w-9 or larger for easier tapping while holding a phone."
64,Medium,Mobile Responsiveness,Customer/Public,components/diner-mode/DinerCartFab.tsx,19,"Floating cart button is fixed bottom-24 with no accounting for iOS safe-area-inset-bottom, so it can sit awkwardly close to or under the home-indicator gesture area.","Add safe-area padding/offset to fixed bottom-positioned elements in diner mode."
65,Medium,Mobile Responsiveness,Customer/Public,components/diner-mode/DinerModeBanner.tsx,26,"Fixed bottom-6 banner has no safe-area-inset-bottom handling.","Add safe-area padding consistent with other fixed bottom overlays."
66,Medium,Mobile Responsiveness,Customer/Public,components/business_details/BusinessDetailsOrderModal.tsx,141,"DialogContent has no max-h/overflow-y-auto, so on a small phone in landscape or with the nearby-orders location panel expanded the dialog content can overflow the viewport.","Add max-h-[90vh] overflow-y-auto like BusinessDetailsReserveTableModal does."
67,Medium,Mobile Responsiveness,Customer/Public,components/jobs/ApplyModal.tsx,81,"ApplyModal's DialogContent has no max-h/overflow-y-auto; cover letter textarea plus resume options can exceed viewport height on small phones especially with the keyboard open.","Add max-h-[90vh] overflow-y-auto to the DialogContent."
68,Medium,Mobile Responsiveness,Customer/Public,components/landing/FeaturesSection.tsx,39,"The editorial image pair wrapper only has flex (no flex-col fallback), so the documented w-[45%]/w-[55%] image split renders as two narrow side-by-side columns even on the smallest phones.","Add a flex-col sm:flex-row (or similar) breakpoint so images can stack on very narrow viewports."
69,Medium,Mobile Responsiveness,Customer/Public,components/profile/ProfileFavoriteCard.tsx,33,"The clickable link wrapper around business name/description has no min-w-0, and the name has no truncate/line-clamp, unlike the sibling ProfileReservationCard which does both -- long business names can overflow the card on narrow phones.","Add min-w-0 to the flex wrapper and truncate (or line-clamp-1) to the name, matching ProfileReservationCard's pattern."
70,Medium,Design Consistency,Customer/Public,components/marketplace/MarketplaceLayout.tsx,37,"Page container uses max-w-[1400px] which exceeds the documented max-w-7xl (1280px) cap; DESIGN_SYSTEM.md explicitly lists ""go wider than 1280px"" as a Don't.","Change to max-w-7xl to match the rest of the app."
71,Medium,Design Consistency,Customer/Public,components/landing/ProblemSolutionSection.tsx,230,"Top-level wrapper is a plain div with py-16 px-4 instead of the documented section + max-w-7xl mx-auto px-4 sm:px-6 lg:px-8 pattern, and double-applies horizontal padding via a nested px-4 sm:px-6.","Refactor to follow the documented section/container structure."
72,Medium,Design Consistency,Customer/Public,components/landing/IntegrationSection.tsx,12,"Section wrapper uses div className=""... py-16 px-4"" instead of the documented section + max-w-7xl mx-auto px-4 sm:px-6 lg:px-8 container convention.","Align with the documented section structure used by FeaturesSection/StaffManagementFeature."
73,Medium,Design Consistency,Customer/Public,components/jobs/JobCard.tsx,68,"Footer meta text uses text-zinc-400/text-zinc-50 instead of muted-foreground/border tokens.","Replace with text-muted-foreground and border-border/50."
74,Medium,Design Consistency,Customer/Public,components/jobs/ApplicationTimeline.tsx,49,"EVENT_ICON_CLASS map hardcodes raw Tailwind colors (bg-blue-100, bg-purple-100, bg-yellow-100, bg-green-100, bg-red-100, bg-zinc-100, bg-indigo-100, bg-emerald-100) for status icons instead of design tokens.","Introduce semantic status tokens or reuse existing badge color patterns consistently instead of ad hoc palette values."
75,Medium,Design Consistency,Customer/Public,components/profile/ProfileOverviewOrdersChart.tsx,66,"Recharts Line stroke is hardcoded to hex #2563eb instead of using the primary CSS token.","Use a CSS var (e.g. stroke=""hsl(var(--primary))"") so the chart line follows theme/dark-mode changes."
76,Medium,Design Consistency,Customer/Public,components/profile/CustomerReservationActionBar.tsx,92,"""I'm running late"" button uses hardcoded border-amber-300 text-amber-700 hover:bg-amber-50 instead of a token-based warning style.","Define/use a token-based warning variant instead of raw amber-300/700/50."
77,Medium,Design Consistency,Customer/Public,components/profile/CustomerReservationActionBar.tsx,184,"""Request cancellation"" trigger button uses hardcoded border-red-300 text-red-700 hover:bg-red-50 instead of the existing --destructive token.","Use text-destructive border-destructive/30 hover:bg-destructive/10 to match the design system's error color."
78,Medium,Code Convention,Customer/Public,components/diner-mode/DinerModeLayout.tsx,46,"Orphaned/unused layout component passes props that don't match its children's real interfaces (reservation to DinerModeHeader which only accepts tableLabel; allowOrders to DinerMenuTab which only accepts canOrder; missing props for DinerMyOrderTab) -- would fail type-checking if it were ever wired up. Actual diner pages use pages/diner/@businessId/+Layout.tsx instead.","Delete this orphaned component, or fix its prop usage to match the real child component interfaces."
79,Medium,Mobile Responsiveness,Staff/POS/Station,components/notifications/NotificationBubble.tsx,97,"PopoverContent is fixed at w-80 (320px) with no max-w-[90vw] cap so it can overflow the viewport on narrow phones.","Cap width with a responsive class e.g. w-80 max-w-[90vw]."
80,Medium,Mobile Responsiveness,Staff/POS/Station,components/pos/SplitBillPanel.tsx,192,"Check-count selector buttons are w-8 h-8 (32px), under the recommended touch target size for POS tablet use.","Increase to h-10 w-10 for touch-first split-bill configuration."
81,Medium,Mobile Responsiveness,Staff/POS/Station,components/pos/PaymentModal.tsx,234,"Confirm-payment DialogContent uses overflow-hidden with no max-h/overflow-y-auto, so expanding Discount/Split panels plus keypad can get clipped instead of scrolling.","Replace overflow-hidden with max-h-[90vh] overflow-y-auto so nested panels can scroll."
82,Medium,Code Convention,Staff/POS/Station,components/station/ExpoScreen.tsx,233,"Expo order feed is polled via setInterval inside useEffect calling staffApi.get directly instead of useQuery's refetchInterval.","Use useQuery({queryKey:['kds-orders','expo'], refetchInterval: 12000}) for consistency with project data-fetching rules."
83,Medium,Code Convention,Staff/POS/Station,components/inputs/LocationSelectionModal.tsx,14,"Six imports use relative paths ('../ui/alert', '../ui/button', etc.) instead of the '@/' alias used everywhere else in the codebase.","Change to '@/components/ui/...' imports for consistency."
84,Medium,Code Convention,Staff/POS/Station,components/inputs/AddressAutocomplete.tsx,46,"Debounced address search calls Radar.autocomplete() directly inside useEffect rather than through TanStack Query.","Wrap in a useQuery with a debounced/enabled key, or a dedicated mutation hook."
85,Medium,Code Convention,Staff/POS/Station,components/inputs/DataPagination.tsx,53,"Wrapping div uses a large style={{ all: 'revert', ... }} inline style object that fully bypasses Tailwind/cn(), duplicating classes already set via className.","Remove the inline style reset and rely on Tailwind classes/cn() only."
86,Medium,Code Convention,Staff/POS/Station,components/payments/LemonPaymentOverlay.tsx,9,"useEffect depends on the whole props object, so LemonSqueezy.Url.Open can re-fire on every unrelated parent re-render, not just when url changes.","Depend on props.url specifically instead of the whole props object."
87,Medium,Design Consistency,Staff/POS/Station,components/analytics/AnalyticsRevenueChart.tsx,46,"Chart line/dot colors are hardcoded hex (#4F46E5) instead of a CSS design token.","Reference a chart color CSS variable (e.g. hsl(var(--chart-1))) as set up in components/ui/chart.tsx."
88,Medium,Design Consistency,Staff/POS/Station,components/analytics/AnalyticsBusiestHoursChart.tsx,71,"Bar fill color hardcoded as #4F46E5 instead of a design token.","Use a chart CSS variable for consistency with the token system."
89,Medium,Design Consistency,Staff/POS/Station,components/analytics/AnalyticsOrderTypesChart.tsx,18,"Pie chart COLORS array is hardcoded hex values (#4F46E5, #10B981, #F59E0B) instead of design tokens.","Source colors from CSS chart variables instead of a hardcoded array."
90,Medium,Design Consistency,Staff/POS/Station,components/analytics/AnalyticsTopProductsTable.tsx,25,"Table uses hardcoded zinc-* palette with manual dark: variants (text-zinc-700, bg-zinc-50 dark:bg-zinc-800) instead of semantic tokens like text-muted-foreground/bg-muted.","Replace zinc-* utility classes with token-based classes so theming stays consistent."
91,Medium,Design Consistency,Staff/POS/Station,components/analytics/AnalyticsKpiCards.tsx,65,"KPI card labels/values use hardcoded zinc-* colors (text-zinc-600 dark:text-zinc-400, text-zinc-900 dark:text-zinc-100) instead of text-muted-foreground/text-foreground tokens.","Replace with semantic text tokens."
92,Medium,Design Consistency,Staff/POS/Station,components/subscriptions/UpgradeModal.tsx,131,"Pricing cards use rounded-3xl and the dialog uses rounded-2xl, deviating from the documented rounded-xl card / rounded-lg standard.","Align to rounded-xl for cards per design system."
93,Medium,Design Consistency,Staff/POS/Station,components/shared/ConfirmationPopup.tsx,31,"Confirm button colors are hardcoded (bg-red-600 hover:bg-red-700, bg-blue-600 hover:bg-blue-700) instead of using bg-destructive/bg-primary tokens.","Use variant=""destructive"" / default Button variants instead of raw hex-mapped Tailwind colors."
94,Medium,Design Consistency,Staff/POS/Station,components/station/PairingScreen.tsx,59,"Pairing screen hardcodes bg-slate-50/text-slate-900/border-slate-200 instead of using bg-background/text-foreground/border-border tokens.","Replace slate-* classes with semantic tokens."
95,Medium,Design Consistency,Staff/POS/Station,components/station/ExpoScreen.tsx,93,"Expo tickets use bg-white and text-slate-500 hardcoded colors instead of bg-card/text-muted-foreground tokens.","Replace hardcoded colors with design tokens."
96,Medium,Code Convention,API Layer,features/auth/service.ts,67,"logoutUserApiCall passes withCredentials: true as a per-call axios config, which the rules say should not be set outside lib/flairapi.ts (flairapi already sets withCredentials: true globally).","Remove the redundant withCredentials override since flairapi already sets it globally."
97,Medium,Code Convention,API Layer,features/notifications/useNotificationSocket.ts,84,"EventSource is constructed with { withCredentials: true } directly against the literal API base outside flairapi.ts; this duplicates auth/session wiring outside the centralized client.","Consider centralizing SSE connection setup/config alongside flairapi conventions, or document this as an accepted exception."
